year,country,suicides_no
1985,Antigua and Barbuda,0
1985,Argentina,1988
1985,Australia,1861
1985,Austria,2091
1985,Bahamas,1
1985,Bahrain,11
1985,Barbados,7
1985,Belgium,2281
1985,Brazil,4228
1985,Bulgaria,1456
1985,Canada,3258
1985,Chile,683
1985,Colombia,1001
1985,Costa Rica,128
1985,Dominica,0
1985,Ecuador,393
1985,France,12501
1985,Greece,405
1985,Grenada,1
1985,Iceland,32
1985,Ireland,276
1985,Israel,234
1985,Italy,4759
1985,Jamaica,8
1985,Japan,23257
1985,Kuwait,17
1985,Luxembourg,55
1985,Malta,2
1985,Mauritius,104
1985,Mexico,1544
1985,Netherlands,1638
1985,New Zealand,338
1985,Panama,56
1985,Paraguay,63
1985,Portugal,983
1985,Puerto Rico,269
1985,Republic of Korea,3689
1985,Saint Vincent and Grenadines,2
1985,Seychelles,8
1985,Singapore,324
1985,Spain,2514
1985,Sri Lanka,5668
1985,Suriname,80
1985,Thailand,2982
1985,Trinidad and Tobago,29
1985,United Kingdom,5105
1985,United States,29446
1985,Uruguay,287
1986,Antigua and Barbuda,0
1986,Argentina,2284
1986,Australia,2044
1986,Austria,2139
1986,Barbados,8
1986,Belgium,2202
1986,Belize,3
1986,Brazil,4271
1986,Bulgaria,1408
1986,Canada,3670
1986,Chile,654
1986,Colombia,958
1986,Costa Rica,131
1986,Ecuador,377
1986,France,12529
1986,Greece,393
1986,Guatemala,203
1986,Iceland,37
1986,Ireland,282
1986,Israel,278
1986,Italy,4691
1986,Jamaica,1
1986,Japan,25484
1986,Kuwait,16
1986,Luxembourg,51
1986,Malta,1
1986,Mauritius,28
1986,Mexico,1714
1986,Netherlands,1604
1986,New Zealand,414
1986,Norway,579
1986,Panama,82
1986,Paraguay,56
1986,Portugal,941
1986,Puerto Rico,310
1986,Republic of Korea,3458
1986,Saint Lucia,5
1986,Saint Vincent and Grenadines,0
1986,Seychelles,1
1986,Singapore,326
1986,Spain,2755
1986,Sri Lanka,5345
1986,Suriname,42
1986,Thailand,2798
1986,Trinidad and Tobago,104
1986,United Kingdom,4839
1986,United States,30892
1986,Uruguay,262
1987,Albania,73
1987,Antigua and Barbuda,0
1987,Argentina,2286
1987,Australia,2164
1987,Austria,2069
1987,Bahamas,3
1987,Bahrain,9
1987,Barbados,6
1987,Belgium,2238
1987,Belize,4
1987,Brazil,4672
1987,Bulgaria,1492
1987,Canada,3591
1987,Chile,693
1987,Colombia,951
1987,Costa Rica,119
1987,Ecuador,390
1987,Finland,1363
1987,France,12161
1987,Greece,410
1987,Guatemala,241
1987,Iceland,36
1987,Ireland,245
1987,Israel,271
1987,Italy,4516
1987,Jamaica,13
1987,Japan,23663
1987,Kuwait,16
1987,Luxembourg,74
1987,Malta,1
1987,Mauritius,140
1987,Mexico,1701
1987,Netherlands,1616
1987,New Zealand,463
1987,Norway,649
1987,Panama,85
1987,Paraguay,62
1987,Portugal,960
1987,Puerto Rico,272
1987,Republic of Korea,3301
1987,Saint Lucia,11
