"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","SH.ALC.PCAP.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","SH.ALC.PCAP.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.43278798772667","5.42748448467185","5.28396296685636","5.24365347462678","5.07748485893819","5.05793774999438","4.93790855327108","4.88768917325859","4.8477264169923","4.73413034937571","4.7422515113953","4.70409177774076","4.72801846368362","4.77350209730846","4.78168207610639","4.76004267391365","4.66503576071895","4.61732875951434","4.61333469819999","4.61180781414656","4.20839553399412","","","",
"Afghanistan","AFG","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","SH.ALC.PCAP.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.003","0.003","0.007","0.016","0.021","0.027","0.025","0.03","0.025","0.023","0.012","0.008","0.004","0.004","0.004","0.009","0.013","0.017","0.016","0.016","0.011","","","",
"Africa Western and Central","AFW","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","SH.ALC.PCAP.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.71571337657738","5.71424728479376","5.74864531457733","5.75289835734658","5.76956499986599","5.76132198384467","5.73075696461634","5.7017478893647","5.66239922328575","5.13623723313608","4.70663500291703","4.30213135242671","4.43100039294694","4.45416364031566","4.47055718072339","4.43841985176921","4.36725975587228","4.30576753622191","4.25736338171036","4.25602609517495","4.09201053210807","","","",
"Angola","AGO","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","SH.ALC.PCAP.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.19","5.19","5.43","5.58","6.08","6.69","7.27","7.61","7.78","8.11","8.32","8.59","8.61","8.74","8.32","7.76","7.01","6.67","6.17","6.17","4.13","","","",
"Albania","ALB","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","SH.ALC.PCAP.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.43","4.43","4.57","4.58","4.98","5.3","5.64","5.81","6","5.94","5.9","5.58","5.37","5.04","5","5.04","5.13","5.13","5.11","5.11","4.47","","","",
"Andorra","AND","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","SH.ALC.PCAP.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.55","12.55","12.39","12.12","12.19","12.26","12.19","11.87","11.52","11.07","10.78","10.47","10.32","10.14","10.38","10.76","11.19","11.1","11.05","11.05","9.68","","","",
"Arab World","ARB","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","SH.ALC.PCAP.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.369124901021842","0.369311968684921","0.364366846017923","0.366944473103321","0.377117073204295","0.381092513683316","0.381305961053094","0.392216083229914","0.404529622841927","0.415698799679074","0.411725570110742","0.393552449659584","0.375877342617897","0.383174556051575","0.391676583314856","0.393540467986277","0.371790350429362","0.366559684310063","0.362875480693294","0.358445864195904","0.312269225305519","","","",
"United Arab Emirates","ARE","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","SH.ALC.PCAP.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.76","1.76","1.76","1.76","1.78","1.77","1.78","1.86","1.91","1.96","1.96","1.99","2.04","2.13","2.25","2.37","2.43","2.43","2.37","2.37","2.08","","","",
"Argentina","ARG","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","SH.ALC.PCAP.LI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.73","6.73","6.17","5.84","5.95","6.17","6.62","7","7.27","7.44","7.69","8.11","8.4","8.48","8.63","8.57","8.6","8.34","8.04","8.04","8.05","","","",
