,ISO3,Country,Electricity access of pop (%)
0,ABW,Aruba,99.99487339219988
1,AFG,Afghanistan,30.850644905301987
2,AGO,Angola,58.515983448853774
3,AIA,Anguilla,99.67679116774595
4,ALA,Åland,-9999.0
5,ALB,Albania,90.43807576958964
6,AND,Andorra,97.58874611037774
7,ARE,United Arab Emirates,95.29962928723742
8,ARG,Argentina,92.37514040420736
9,ARM,Armenia,87.66121150049038
10,ASM,American Samoa,98.17837742476304
11,ATA,Antarctica,-9999.0
12,ATF,French Southern Territories,-9999.0
13,ATG,Antigua and Barbuda,98.6214718310254
14,AUS,Australia,93.76718148297996
15,AUT,Austria,87.3690766792347
16,AZE,Azerbaijan,72.54691532710795
17,BDI,Burundi,16.416032602785556
18,BEL,Belgium,98.9226216997585
19,BEN,Benin,38.236005590425584
20,BES,"Bonaire, Sint Eustatius and Saba",89.66082411090673
21,BFA,Burkina Faso,26.432357516396525
22,BGD,Bangladesh,54.92502128016269
23,BGR,Bulgaria,82.84923804593299
24,BHR,Bahrain,99.99640242232387
25,BHS,Bahamas,90.65468196092505
26,BIH,Bosnia and Herzegovina,80.93426960632956
27,BLM,Saint-Barthélemy,-9997.0
28,BLR,Belarus,84.13561942800321
29,BLZ,Belize,49.434503972410205
30,BMU,Bermuda,-9997.0
31,BOL,Bolivia,63.02655876352469
32,BRA,Brazil,93.55335143815114
33,BRB,Barbados,99.62612792544381
34,BRN,Brunei,39.10278512063768
35,BTN,Bhutan,29.933243543580183
36,BVT,Bouvet Island,-9999.0
37,BWA,Botswana,46.495409262892295
38,CAF,Central African Republic,19.947803939985462
39,CAN,Canada,94.17408984362909
40,CCK,Cocos Islands,-9999.0
41,CHE,Switzerland,93.97064383113779
42,CHL,Chile,91.96149651276973
43,CHN,China,73.73748954081857
44,CIV,Côte d'Ivoire,56.202725974945125
45,CMR,Cameroon,31.54904110568344
46,COD,Democratic Republic of the Congo,16.18483251282412
47,COG,Republic of Congo,35.69480938689779
48,COK,Cook Islands,-9997.0
49,COL,Colombia,71.19473900862229
50,COM,Comoros,16.150984657752318
51,CPV,Cape Verde,60.13663529267978
52,CRI,Costa Rica,90.98734417193305
53,CUB,Cuba,77.28867008881177
54,CUW,Curaçao,99.90074432505124
55,CXR,Christmas Island,-9999.0
56,CYM,Cayman Islands,99.54781112382051
57,CYP,Cyprus,-9997.0
58,CZE,Czech Republic,94.86983306689507
59,DEU,Germany,91.92611903313261
60,DJI,Djibouti,59.91551909376926
61,DMA,Dominica,73.78408818556004
62,DNK,Denmark,92.82914607562512
63,DOM,Dominican Republic,92.24321517239903
64,DZA,Algeria,90.10885057258541
65,ECU,Ecuador,76.10947031063401
66,EGY,Egypt,99.25776611665071
67,ERI,Eritrea,12.188448398188529
68,ESH,Western Sahara,49.91080480003545
69,ESP,Spain,97.25675599258952
70,EST,Estonia,93.62370296215579
71,ETH,Ethiopia,15.839432771470191
72,FIN,Finland,81.01029951729096
73,FJI,Fiji,66.75339448338465
74,FLK,Falkland Islands,-9997.0
75,FRA,France,88.34090351862899
76,FRO,Faroe Islands,-9997.0
77,FSM,Micronesia,-9997.0
78,GAB,Gabon,29.0604272376916
79,GBR,United Kingdom,96.95069306250487
80,GEO,Georgia,84.21857779796633
81,GGY,Guernsey,-9999.0
82,GHA,Ghana,68.47195474510755
83,GIB,Gibraltar,-9999.0
84,GIN,Guinea,29.33997219832709
85,GLP,Guadeloupe,96.99717245683043
86,GMB,Gambia,57.95046802515732
87,GNB,Guinea-Bissau,29.038165223562203
88,GNQ,Equatorial Guinea,18.38985919076373
89,GRC,Greece,95.33297258769036
90,GRD,Grenada,94.13669844274148
91,GRL,Greenland,-9997.0
92,GTM,Guatemala,62.31118680307516
93,GUF,French Guiana,60.458262010315934
94,GUM,Guam,99.60966056448564
95,GUY,Guyana,72.77653522469731
96,HKG,Hong Kong,99.96029595044024
97,HMD,Heard Island and McDonald Islands,-9999.0
98,HND,Honduras,69.7354464530229
99,HRV,Croatia,88.43851526479177
100,HTI,Haiti,42.86203541590693
101,HUN,Hungary,91.95999909221814
102,IDN,Indonesia,69.86201888220435
103,IMN,Isle of Man,79.76315921249935
104,IND,India,80.9842999883241
105,IOT,British Indian Ocean Territory,-9999.0
106,IRL,Ireland,84.55195500923189
107,IRN,Iran,84.24541554444103
108,IRQ,Iraq,84.62525200535843
109,ISL,Iceland,-9997.0
110,ISR,Israel,99.38753144010394
111,ITA,Italy,99.64834222267602
112,JAM,Jamaica,93.87421763392673
113,JEY,Jersey,-9999.0
114,JOR,Jordan,97.12945792802206
115,JPN,Japan,95.03106491024982
116,KAZ,Kazakhstan,60.576108859726766
117,KEN,Kenya,44.18898536039823
118,KGZ,Kyrgyzstan,64.73750587760424
119,KHM,Cambodia,34.23070173552817
120,KIR,Kiribati,-9997.0
121,KNA,Saint Kitts and Nevis,96.02657102514442
122,KOR,South Korea,99.37213741829747
123,KWT,Kuwait,97.38279214116781
124,LAO,Laos,38.81379761503303
125,LBN,Lebanon,99.19935069479696
126,LBR,Liberia,35.51082331534375
127,LBY,Libya,84.49594971648419
128,LCA,Saint Lucia,97.14195995534313
129,LIE,Liechtenstein,86.9257471858213
130,LKA,Sri Lanka,65.2355510874382
131,LSO,Lesotho,33.77567075769526
132,LTU,Lithuania,73.21647315501387
133,LUX,Luxembourg,98.28204004664796
134,LVA,Latvia,79.76169738735501
135,MAC,Macao,-9999.0
136,MAF,Saint-Martin,99.92990190562271
137,MAR,Morocco,81.95174926007365
138,MCO,Monaco,-9999.0
139,MDA,Moldova,62.029380775882174
140,MDG,Madagascar,13.954417568964312
141,MDV,Maldives,-9997.0
142,MEX,Mexico,96.33821453106867
143,MHL,Marshall Islands,-9997.0
144,MKD,Macedonia,77.15835600582461
145,MLI,Mali,35.28484689981912
146,MLT,Malta,99.9522809264013
147,MMR,Myanmar,46.96517909396024
148,MNE,Montenegro,81.03685179921854
149,MNG,Mongolia,67.42986131747939
150,MNP,Northern Mariana Islands,99.74026027597068
151,MOZ,Mozambique,29.704660629719168
152,MRT,Mauritania,40.89492321714388
153,MSR,Montserrat,96.6896140913729
154,MTQ,Martinique,96.75458028966337
155,MUS,Mauritius,97.31753181465585
156,MWI,Malawi,28.67107517955446
157,MYS,Malaysia,86.85691912464229
158,MYT,Mayotte,86.84141351596067
159,NAM,Namibia,58.820364165353006
160,NCL,New Caledonia,-9997.0
161,NER,Niger,12.296753479899944
162,NFK,Norfolk Island,-9999.0
163,NGA,Nigeria,36.398278060086966
164,NIC,Nicaragua,53.71388529234586
165,NIU,Niue,30.483275935368894
166,NLD,Netherlands,96.57059097954516
167,NOR,Norway,75.3312529197794
168,NPL,Nepal,53.968158881052574
169,NRU,Nauru,-9999.0
170,NZL,New Zealand,90.4754983030008
171,OMN,Oman,77.12480307471324
172,PAK,Pakistan,68.14524473618592
173,PAN,Panama,80.66127837521594
174,PCN,Pitcairn Islands,-9999.0
175,PER,Peru,75.99959822793443
176,PHL,Philippines,69.2420966366802
177,PLW,Palau,-9997.0
178,PNG,Papua New Guinea,7.851935285770552
179,POL,Poland,90.19513516077758
180,PRI,Puerto Rico,99.68270096826429
181,PRK,North Korea,24.16188745551478
182,PRT,Portugal,99.62785268039165
183,PRY,Paraguay,84.94682343070595
184,PSE,Palestina,99.5806016908201
185,PYF,French Polynesia,-9997.0
186,QAT,Qatar,99.67895930330579
187,REU,Reunion,80.17275938947041
188,ROU,Romania,78.5478660323155
189,RUS,Russia,87.71432937197169
190,RWA,Rwanda,30.1054289960828
191,SAU,Saudi Arabia,80.0825455105993
192,SDN,Sudan,25.503115333391147
193,SEN,Senegal,46.9138010192138
194,SGP,Singapore,99.46800792762531
195,SGS,South Georgia and the South Sandwich Islands,-9999.0
196,SHN,Saint Helena,-9997.0
197,SJM,Svalbard and Jan Mayen,-9999.0
198,SLB,Solomon Islands,-9997.0
199,SLE,Sierra Leone,30.64903515838217
200,SLV,El Salvador,81.67524606662401
201,SMR,San Marino,-9999.0
202,SOM,Somalia,10.538751130465307
203,SPM,Saint Pierre and Miquelon,-9997.0
204,SRB,Serbia,94.29689953018072
205,SSD,South Sudan,0.348303434986888
206,STP,São Tomé and Príncipe,62.61234658233076
207,SUR,Suriname,80.51981371137002
208,SVK,Slovakia,86.52746172988279
209,SVN,Slovenia,89.11775470427038
210,SWE,Sweden,93.39605523212606
211,SWZ,Swaziland,49.26062688186224
212,SXM,Sint Maarten,-9999.0
213,SYC,Seychelles,-9997.0
214,SYR,Syria,69.07146464702195
215,TCA,Turks and Caicos Islands,96.7556488541236
216,TCD,Chad,8.284709265617947
217,TGO,Togo,52.209937082048846
218,THA,Thailand,82.48355984509267
219,TJK,Tajikistan,62.18342524410863
220,TKL,Tokelau,-9997.0
221,TKM,Turkmenistan,69.13266258304854
222,TLS,Timor-Leste,56.4128294195346
223,TON,Tonga,90.16379035250127
224,TTO,Trinidad and Tobago,97.79146913529152
225,TUN,Tunisia,82.7706133325725
226,TUR,Turkey,97.28320339748198
227,TUV,Tuvalu,58.0834560120932
