country,alpha3,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Albania,ALB,,,,,,27.0,,,,,,31.7,,,30.6,,,30.0,,,,29.0,,34.6,32.8,33.7,33.1,30.1,30.1,29.4,,,
Argentina,ARG,46.8,45.5,44.8,45.9,48.9,49.5,49.1,50.7,49.8,51.0,53.3,53.8,51.0,48.5,47.8,46.4,46.3,45.0,43.8,43.7,42.7,41.4,41.1,41.8,,42.3,41.4,41.7,43.3,42.7,42.4,40.7,
Armenia,ARM,,,,,,,,,36.2,,35.4,34.8,33.0,37.5,36.0,29.7,31.2,29.2,28.0,30.0,29.4,29.6,30.6,31.5,32.4,32.5,33.6,34.4,30.0,25.1,27.9,27.9,
Australia,AUS,,,,,32.6,,,,,,33.5,,33.5,33.1,,,,35.4,,34.7,,,,34.4,,33.7,,34.3,,,,,
Austria,AUT,,,,30.8,29.9,29.3,29.1,31.3,29.7,29.0,,,29.5,29.8,28.7,29.6,30.6,30.4,31.5,30.3,30.8,30.5,30.8,30.5,30.5,30.8,29.7,30.8,30.2,29.8,30.7,,
Azerbaijan,AZE,,,,,34.6,,,,,,36.5,25.3,26.8,26.6,26.6,,,,,,,,,,,,,,,,,,
Belgium,BEL,,24.9,,,28.4,,26.8,,,33.1,,,28.1,30.5,29.3,28.1,29.2,28.4,28.6,28.4,28.1,27.5,27.7,28.1,27.7,27.6,27.4,27.2,27.2,26.0,26.6,,
Burkina Faso,BFA,,,,48.0,,,,49.9,,,,,43.3,,,,,,39.8,,,,,35.3,,,,43.0,,,37.4,,
Bangladesh,BGD,27.6,,,,32.9,,,,,33.4,,,,,33.2,,,,,32.1,,,,,,32.4,,,,,,33.4,
Bulgaria,BGR,,,,,,,,,,,,,,,,35.7,36.1,33.6,33.8,35.7,34.3,36.0,36.6,37.4,38.6,40.6,40.4,41.3,40.3,40.5,39.0,,
Belarus,BLR,,,,,,,,32.0,31.7,31.2,30.6,30.3,28.8,26.5,27.6,28.3,29.6,27.8,27.7,28.6,27.2,26.5,26.6,27.2,25.6,25.3,25.4,25.2,25.3,24.4,,,
Belize,BLZ,,,60.2,60.9,,56.5,60.4,54.9,53.2,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,,49.1,,,,,58.1,,58.0,61.6,57.4,59.3,,55.0,58.5,56.7,54.5,50.8,49.2,,46.1,46.6,47.6,47.8,46.7,45.2,44.6,42.6,41.6,43.6,40.9,,
Brazil,BRA,,53.1,60.1,,59.5,59.8,59.8,59.6,59.0,,58.4,58.1,57.6,56.5,56.3,55.6,54.9,54.0,53.7,,52.9,53.4,52.7,52.0,51.9,53.4,53.3,53.9,53.5,48.9,52.9,52.0,
Canada,CAN,31.9,31.6,31.7,31.3,31.5,32.8,33.1,33.2,33.1,33.4,33.6,33.6,33.8,33.8,33.6,34.1,33.8,33.9,34.0,33.6,32.7,33.5,33.8,33.2,33.7,32.7,33.3,32.5,31.7,,,,
Switzerland,CHE,,33.9,,,,,,,,33.4,,31.7,,31.6,,33.9,34.3,33.8,32.9,32.6,31.7,31.6,32.5,32.5,32.3,33.0,32.7,33.1,34.0,33.7,,,
Chile,CHL,,54.8,,56.4,,54.9,,55.5,,52.8,,,51.5,,,47.7,,,47.4,,46.9,,46.8,,45.3,,45.3,,,47.0,,43.0,
China,CHN,,,33.9,,,35.2,,,38.7,,,42.0,,,40.9,,,43.0,,43.7,42.4,42.2,39.7,39.2,38.6,38.5,39.1,38.5,38.2,37.1,35.7,,
Cote d'Ivoire,CIV,,39.4,,,40.6,,,39.0,,,,41.3,,,,,,43.2,,,,,,,41.5,,,37.2,,,35.3,,
Colombia,COL,51.3,51.4,,,,56.8,,,58.5,58.4,57.3,56.0,53.6,55.0,53.9,,,55.3,54.3,54.6,53.5,52.6,52.6,52.5,51.0,50.6,49.7,50.4,51.3,53.5,55.1,54.8,
Costa Rica,CRI,46.6,45.6,45.9,46.7,45.7,46.5,45.6,45.6,47.6,47.4,51.5,51.8,49.3,48.4,47.5,49.3,49.3,48.6,50.6,48.0,48.8,48.4,49.2,48.6,48.4,48.7,48.3,48.0,48.2,49.2,48.7,47.2,46.7
Cyprus,CYP,,,,,,,,,,,,,,30.1,30.3,31.1,31.1,31.7,32.1,31.5,32.6,34.3,37.0,35.6,34.0,32.9,31.4,32.7,31.2,31.7,31.3,,
Czechia,CZE,,20.7,26.6,,,25.8,,,,,,26.6,,27.5,26.9,26.7,26.0,26.3,26.2,26.6,26.4,26.1,26.5,25.9,25.9,25.4,24.9,25.0,25.3,26.2,26.2,,
Germany,DEU,29.5,29.1,28.6,29.2,28.8,28.0,28.2,28.3,29.0,28.9,29.9,29.8,29.8,30.2,31.7,31.0,31.2,30.8,30.5,30.2,30.6,31.1,31.5,30.8,31.7,31.4,31.3,31.9,31.8,32.4,,,
Denmark,DNK,,24.7,,,23.0,,,,,23.8,,,25.6,24.9,25.2,25.9,26.2,25.2,26.7,27.2,27.3,27.8,28.5,28.4,28.2,28.2,28.7,28.2,27.7,27.5,28.3,,
Dominican Republic,DOM,,51.1,,,,47.4,48.9,,,51.5,50.0,49.7,52.1,52.0,50.0,52.0,48.9,48.1,48.9,47.3,47.7,46.1,47.7,44.3,45.2,45.7,42.2,43.7,41.9,39.6,38.5,37.0,
Ecuador,ECU,,,,53.3,50.8,,,49.6,58.6,56.3,,,53.5,53.9,53.0,52.2,53.4,49.8,48.5,48.8,45.9,46.1,46.9,45.0,46.0,45.0,44.7,45.4,45.7,47.3,45.8,45.5,44.6
"Egypt, Arab Rep.",EGY,,,,,30.1,,,,30.8,,,,,31.8,,,,31.1,,30.2,,28.3,,,31.8,,31.5,,31.9,,,,
Spain,ESP,,,35.7,35.1,35.7,36.5,35.3,34.6,33.8,34.1,,,31.8,33.3,32.4,33.5,34.1,34.2,34.9,35.2,35.7,35.4,36.2,36.1,36.2,35.8,34.7,34.7,34.3,34.9,33.9,,
Estonia,EST,,,,,,,,,,,,,37.2,33.6,33.4,33.7,31.2,31.9,31.4,32.0,32.5,32.9,35.1,34.6,32.7,31.2,30.4,30.3,30.8,30.7,31.8,,
Finland,FIN,22.9,,,,23.5,,,,,27.2,,,27.7,27.9,27.6,28.0,28.3,27.8,27.5,27.7,27.6,27.1,27.2,26.8,27.1,27.1,27.4,27.3,27.7,27.1,27.7,,
France,FRA,,,,,,32.0,31.9,31.7,32.5,32.6,32.5,31.8,31.4,30.6,29.8,29.7,32.4,33.0,32.7,33.7,33.3,33.1,32.5,32.3,32.7,31.9,31.6,32.4,31.2,30.7,31.5,,
United Kingdom,GBR,35.0,35.0,35.1,36.0,35.5,35.3,35.7,36.6,36.8,38.8,37.1,35.1,34.9,34.8,35.5,35.9,34.4,35.4,35.1,33.7,33.2,33.1,32.7,33.1,33.3,33.1,32.6,33.7,32.8,32.6,32.4,,
Georgia,GEO,,,,,,37.1,40.7,41.2,40.1,40.5,39.6,37.2,36.7,36.2,37.4,36.9,38.1,38.5,38.2,39.5,39.6,39.0,38.6,37.6,36.5,36.6,37.9,36.4,35.9,34.5,34.2,33.5,
Guinea,GIN,44.5,,,46.1,,,,,,,,43.0,,,,,39.4,,,,,33.7,,,,,,29.6,,,,,
Guinea-Bissau,GNB,55.8,,43.6,,,,,,,,,35.6,,,,,,,,50.6,,,,,,,,34.8,,,33.4,,
Greece,GRC,,,,,37.0,,,,,34.2,,,32.8,33.6,34.6,35.1,34.0,33.6,33.6,34.1,34.8,36.3,36.1,35.8,36.0,35.0,34.4,32.9,33.1,33.6,32.9,,
Honduras,HND,51.8,51.8,53.4,55.0,55.5,55.7,52.7,57.3,55.2,,55.4,55.7,58.1,58.1,59.5,57.5,55.8,55.5,51.3,53.1,52.6,53.4,50.0,49.9,49.2,49.8,49.4,48.9,48.2,,,,
Croatia,HRV,,,,,,,,,,,,,,,,,,,32.6,32.4,32.3,32.5,32.0,32.1,31.1,30.9,30.4,29.7,28.9,29.5,28.9,,
Hungary,HUN,,,,,,,,,,,,,,29.9,34.7,28.3,27.9,27.5,27.0,29.4,29.2,30.8,31.5,30.9,30.4,30.3,30.6,29.6,30.0,29.7,29.2,,
Indonesia,IDN,,,31.8,,,34.2,,30.9,30.8,30.3,31.2,30.2,29.3,30.4,29.9,31.5,33.2,32.6,33.4,34.6,37.9,37.1,38.9,38.8,38.2,36.9,36.4,36.3,35.4,35.3,35.5,35.5,36.1
India,IND,,,31.6,,,,,,,,,,,34.0,,,,,34.9,,35.4,,,,34.7,34.7,35.9,34.5,33.8,33.8,32.8,,
Ireland,IRL,,,,36.9,37.0,35.6,,,,33.0,,32.3,32.9,33.6,33.8,32.7,31.9,30.9,32.7,32.3,32.9,33.2,33.5,31.9,31.8,32.8,31.4,30.6,30.8,29.2,30.1,,
"Iran, Islamic Rep.",IRN,,,,43.0,,,,44.1,,,,,,,43.6,44.8,,,42.1,,34.7,34.4,34.0,34.8,35.3,35.9,36.7,37.4,36.5,35.8,35.5,34.8,
Iceland,ISL,,,,,,,,,,,,,26.8,28.0,29.0,30.2,29.5,31.8,28.7,26.2,26.8,26.8,25.4,27.8,26.8,27.2,26.1,,,,,,
Israel,ISR,,35.5,,,,,38.1,,,,38.9,39.6,40.7,41.5,42.3,41.6,41.1,41.6,42.6,42.6,41.4,41.3,39.9,39.8,39.7,39.0,38.2,38.6,38.3,37.8,37.9,,
Italy,ITA,31.0,,35.1,,35.2,,,36.7,,35.2,,34.7,34.9,34.3,33.8,33.7,32.9,33.8,33.8,34.7,35.1,35.2,34.9,34.7,35.4,35.2,35.9,35.2,34.6,35.2,34.8,,
Jamaica,JAM,,,35.7,,,40.4,,,44.1,,,48.3,,45.5,,,,,,,,,,,,,,35.6,,,40.2,,
Jordan,JOR,,43.1,,,,,36.4,,,,,37.0,,,,33.9,,32.6,,33.7,,,,,,,,,,,,,
Kazakhstan,KAZ,,,,,,35.4,,,,,36.0,34.8,33.7,31.8,39.8,30.2,30.1,28.5,28.2,28.0,28.0,28.2,27.1,27.0,26.8,27.2,27.5,27.8,28.0,28.7,29.2,,
Kenya,KEN,,56.9,,43.1,,,45.0,,,,,,,,46.4,,,,,,,,,,40.8,,,,,36.2,38.7,,
Kyrgyz Republic,KGZ,,,,,,,,,,31.0,30.2,30.3,28.7,34.8,32.6,37.4,33.9,31.5,29.9,30.1,27.8,27.4,28.8,26.8,29.0,26.8,27.3,27.7,29.7,29.0,28.8,26.4,
"Korea, Rep.",KOR,,,,,,,,,,,,,,,,31.7,,32.3,,32.0,,31.6,,31.2,,35.2,34.9,33.7,33.2,32.7,32.9,,
Lao PDR,LAO,,34.3,,,,,34.9,,,,,32.6,,,,,35.4,,,,,36.0,,,,,,38.8,,,,,
Sri Lanka,LKA,,,,,35.4,,,,,,,40.2,,,,39.7,,,36.1,,,38.7,,,,39.3,,,37.7,,,,
Lithuania,LTU,,,,,,,,,,,,,,37.0,35.3,34.4,34.8,35.7,37.2,33.6,32.5,35.1,35.3,37.7,37.4,38.4,37.3,35.7,35.3,36.0,36.7,,
