country,members
India,1500
United States,50000
Indonesia,175
Pakistan,250
Brazil,1300
Mexico,400
Japan,4500
Philippines,160
Germany,16000
United Kingdom,19000
France,4000
South Africa,1300
Italy,1800
Colombia,100
South Korea,2400
Spain,1750
Argentina,400
Canada,2022
Poland,2000
Malaysia,900
Peru,100
Australia,2500
Taiwan,600
Romania,800
Netherlands,4300
Belgium,500
United Arab Emirates,50
Czech Republic,6042
Sweden,7200
Greece,1300
Hungary,4700
Austria,1000
Switzerland,1800
Hong Kong,300
Bulgaria,260
Serbia,1100
Denmark,2000
Singapore,1400
Finland,3300
Norway,2400
Slovakia,750
Ireland,850
New Zealand,600
Croatia,1300
Slovenia,250
North Macedonia,100
Cyprus,110
Luxembourg,100
Montenegro,200
