country,2021 Average NO2 (molec/cm^2),Uncertainty (%),Change since 2005 (%)
Afghanistan,1694000000000000.0,13.14,66.4054
Africa,650800000000000.0,10.14,-1.81061
Algeria,3098000000000000.0,8.47,30.5452
Angola,910600000000000.0,26.46,18.9029
Argentina,4780000000000000.0,8.57,-37.6954
Argentina,1248000000000000.0,8.37,16.9435
Armenia,2206000000000000.0,14.77,29.8018
Australia,1633000000000000.0,5.47,-32.678
Australia,1014000000000000.0,7.59,-29.7936
Australia,2465000000000000.0,5.62,-34.2222
Australia,718500000000000.0,15.68,-13.8635
Australia,1102000000000000.0,7.66,-19.7524
Australia,2151000000000000.0,8.76,-46.3131
Austria,3456000000000000.0,9.92,-24.4911
Azerbaijan,3042000000000000.0,9.55,30.7511
Bangladesh,2704000000000000.0,9.55,21.7138
Bangladesh,7667000000000000.0,14.65,94.1826
Bangladesh,2394000000000000.0,10.72,105.419
Belarus,1569000000000000.0,13.47,-16.7031
Belgium,6038000000000000.0,10.95,-46.3783
Belgium,5481000000000000.0,9.62,-47.8768
Benin,918600000000000.0,10.06,24.2017
Bhutan,725000000000000.0,11.14,10.1698
Bolivia,702800000000000.0,14.69,77.1268
Bolivia,848200000000000.0,25.8,74.2572
Bolivia,808000000000000.0,16.39,96.0712
Botswana,1185000000000000.0,9.69,8.52055
Brazil,734000000000000.0,7.89,16.6967
Brazil,2910000000000000.0,7.04,-22.3883
Brazil,634000000000000.0,8.9,11.7212
Brazil,4953000000000000.0,7.15,-38.1062
Brazil,469700000000000.0,9.29,-10.5133
Brazil,1293000000000000.0,6.31,-8.99009
Brazil,1533000000000000.0,8.49,-7.82126
Bulgaria,1989000000000000.0,10.26,-17.0062
Burkina Faso,979000000000000.0,10.64,32.8023
Cambodia,1126000000000000.0,13.74,24.5814
Cameroon,546100000000000.0,18.31,33.9685
Canada,2313000000000000.0,8.93,-33.2252
Canada,1389000000000000.0,8.72,-18.0646
Canada,2431000000000000.0,7.93,-33.0049
Canada,1415000000000000.0,7.22,-27.7303
Canada,4463000000000000.0,7.42,-32.0592
Canada,1525000000000000.0,13.78,-15.6617
Canada,3034000000000000.0,5.82,-41.8311
Chad,976600000000000.0,10.47,12.3889
Chile,423000000000000.0,10.56,2.68205
Chile,6072000000000000.0,10.27,5.27093
China,7710000000000000.0,13.08,-25.5345
China,1.016e+16,11.6,-48.3572
China,4942000000000000.0,13.32,-9.50378
China,1.071e+16,12.79,-9.70456
China,8002000000000000.0,13.11,19.6081
China,9612000000000000.0,7.2,-53.2034
China,1.303e+16,7.18,-45.6957
China,1.416e+16,9.43,-27.939
China,4108000000000000.0,15.84,-28.2159
China,1.165e+16,10.64,-37.7205
China,7051000000000000.0,9.54,-49.3903
China,1.067e+16,7.55,-53.9951
China,1.2e+16,8.09,-49.1349
China,6084000000000000.0,12.3,-1.82372
China,4339000000000000.0,11.06,-13.8571
China,1.113e+16,9.2,-26.4883
China,1.04e+16,14.15,-12.2799
China,9055000000000000.0,11.85,-18.4975
China,1.15e+16,10.85,-38.2672
China,1.418e+16,9.6,-28.8339
China,1.104e+16,7.87,-45.17
Colombia,929100000000000.0,9.38,20.3474
Colombia,1020000000000000.0,11.12,-8.16124
Congo,1252000000000000.0,20.69,12.1978
Costa Rica,963400000000000.0,6.06,-5.30896
Cote dIvoire,860500000000000.0,7.54,15.6117
Cuba,1228000000000000.0,6.65,3.29869
Czech Republic,3997000000000000.0,11.53,-19.0529
Denmark,2126000000000000.0,10.88,-36.5057
Djibouti,670800000000000.0,6.2,8.81741
Ecuador,732900000000000.0,15.57,-5.31063
Ecuador,1870000000000000.0,12.95,-21.0179
Egypt,5078000000000000.0,7.68,17.348
Egypt,1992000000000000.0,8.11,15.5186
El Salvador,1195000000000000.0,5.98,-32.0827
England,1327000000000000.0,12.23,-30.6883
England,3511000000000000.0,13.55,-49.8567
England,2194000000000000.0,11.06,-34.4576
England,2264000000000000.0,12.2,-49.8013
England,3366000000000000.0,11.36,-59.0115
England,2201000000000000.0,16.66,-47.2975
England,3081000000000000.0,11.04,-53.759
Equatorial Guinea,328600000000000.0,15.21,17.714
Eritrea,605600000000000.0,7.14,10.1229
Estonia,1104000000000000.0,10.9,0.213837
Ethiopia,791500000000000.0,7.41,21.7678
Finland,1431000000000000.0,8.32,-29.4102
France,1596000000000000.0,7.43,-34.9013
France,4501000000000000.0,8.47,-54.7252
France,4528000000000000.0,10.72,-46.0707
France,2211000000000000.0,6.35,-51.8434
France,2454000000000000.0,6.84,-41.1181
French Guiana,208900000000000.0,12.23,15.2288
Gabon,440800000000000.0,15.74,24.7439
Gambia,823400000000000.0,9.5,10.738
Georgia,1619000000000000.0,10.64,17.4324
Germany,3172000000000000.0,11.84,-26.5897
Germany,3750000000000000.0,12.31,-27.3962
Germany,5206000000000000.0,10.45,-39.134
Germany,2690000000000000.0,11.18,-25.5527
Germany,3668000000000000.0,11.05,-27.9769
Germany,3565000000000000.0,12.32,-29.5637
Germany,7380000000000000.0,7.63,-44.7486
Ghana,867400000000000.0,10.21,19.3979
Greece,2930000000000000.0,7.45,-45.848
Greenland,221700000000000.0,21.25,8.29953
Guatemala,1181000000000000.0,8.54,2.51414
Guinea,540200000000000.0,14.38,9.8229
Guinea Bissau,567100000000000.0,10.11,-8.07885
Guyana,171300000000000.0,12.7,22.2386
Haiti,949500000000000.0,6.09,4.0037
Honduras,631000000000000.0,9.08,-15.7996
Hungary,3359000000000000.0,8.32,-22.0606
Iceland,319600000000000.0,18.97,-7.97073
India,4291000000000000.0,11.11,66.0223
India,1609000000000000.0,12.31,29.7155
India,1736000000000000.0,9.77,28.0549
India,2573000000000000.0,7.8,-3.16064
India,3350000000000000.0,7.34,19.0728
India,2518000000000000.0,10.36,12.3727
India,5571000000000000.0,10.51,-5.12502
India,2883000000000000.0,6.66,31.1999
India,2994000000000000.0,10.68,34.6884
India,2475000000000000.0,6.99,-1.51966
India,2558000000000000.0,13.17,48.3814
India,4035000000000000.0,8.44,2.96463
Indonesia,902900000000000.0,6.63,-5.55539
Indonesia,2966000000000000.0,6.11,-40.6155
Indonesia,1990000000000000.0,5.35,-8.5985
Iran,1.348e+16,10.85,18.9002
Iraq,6006000000000000.0,11.85,51.9108
Iraq,3255000000000000.0,14.44,69.816
Iraq,3601000000000000.0,14.13,81.6118
Ireland,1467000000000000.0,9.65,-29.5891
Israel,2615000000000000.0,6.6,-34.791
Italy,2125000000000000.0,5.51,-50.2306
Italy,4900000000000000.0,7.12,-44.5899
Italy,7175000000000000.0,6.34,-51.8521
Italy,2479000000000000.0,6.97,-39.7403
Jamaica,903300000000000.0,6.18,-21.1859
Japan,2838000000000000.0,7.72,-40.9573
Japan,9942000000000000.0,5.54,-54.1371
Japan,5781000000000000.0,5.96,-49.4029
Japan,1865000000000000.0,9.36,-16.5942
Japan,7044000000000000.0,5.83,-47.4775
Japan,5361000000000000.0,5.38,-47.9186
Kampala,892800000000000.0,8.0,-5.95973
Kazakhstan,1257000000000000.0,12.05,14.202
Kenya,818600000000000.0,10.27,0.852284
Kuwait,6288000000000000.0,6.56,-0.157902
Kyrgystan,1787000000000000.0,9.71,44.0333
Laos,1616000000000000.0,13.15,13.8586
Latvia,1178000000000000.0,12.44,1.77816
Lebanon,5304000000000000.0,15.91,101.743
Lesotho,934000000000000.0,8.92,-6.82905
Libya,2045000000000000.0,6.11,-8.36294
Lithuania,1499000000000000.0,15.24,12.7821
Madagascar,844100000000000.0,10.71,31.8502
Malawi,1259000000000000.0,8.83,5.44557
Malaysia,2597000000000000.0,8.55,-14.8338
Mali,1131000000000000.0,10.48,29.3305
Mauritania,701200000000000.0,6.69,14.6329
Mexico,1643000000000000.0,5.92,-15.0252
Mexico,1333000000000000.0,7.45,2.99974
