,Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,Aruba,ABW,65712.0,67864.0,70192.0,72360.0,74710.0,77050.0,79417.0,81858.0,84355.0,86867.0,89101.0,90691.0,91781.0,92701.0,93540.0,94483.0,95606.0,96787.0,97996.0,99212.0,100341.0,101288.0,102112.0,102880.0,103594.0,104257.0,104874.0,105439.0,105962.0,106442.0,106585.0,106537.0,106445.0,106277.0
1,Africa Eastern and Southern,AFE,309890664.0,318544083.0,326933522.0,335625136.0,344418362.0,353466601.0,362985802.0,372352230.0,381715600.0,391486231.0,401600588.0,412001885.0,422741118.0,433807484.0,445281555.0,457153837.0,469508516.0,482406426.0,495748900.0,509410477.0,523459657.0,537792950.0,552530654.0,567892149.0,583651101.0,600008424.0,616377605.0,632746570.0,649757148.0,667242986.0,685112979.0,702977106.0,720859132.0,739108306.0
2,Afghanistan,AFG,10694796.0,10745167.0,12057433.0,14003760.0,15455555.0,16418912.0,17106595.0,17788819.0,18493132.0,19262847.0,19542982.0,19688632.0,21000256.0,22645130.0,23553551.0,24411191.0,25442944.0,25903301.0,26427199.0,27385307.0,28189672.0,29249157.0,30466479.0,31541209.0,32716210.0,33753499.0,34636207.0,35643418.0,36686784.0,37769499.0,38972230.0,40099462.0,41128771.0,42239854.0
3,Africa Western and Central,AFW,206739024.0,212172888.0,217966101.0,223788766.0,229675775.0,235861484.0,242200260.0,248713095.0,255482918.0,262397030.0,269611898.0,277160097.0,284952322.0,292977949.0,301265247.0,309824829.0,318601484.0,327612838.0,336893835.0,346475221.0,356337762.0,366489204.0,376797999.0,387204553.0,397855507.0,408690375.0,419778384.0,431138704.0,442646825.0,454306063.0,466189102.0,478185907.0,490330870.0,502789511.0
4,Angola,AGO,11828638.0,12228691.0,12632507.0,13038270.0,13462031.0,13912253.0,14383350.0,14871146.0,15366864.0,15870753.0,16394062.0,16941587.0,17516139.0,18124342.0,18771125.0,19450959.0,20162340.0,20909684.0,21691522.0,22507674.0,23364185.0,24259111.0,25188292.0,26147002.0,27128337.0,28127721.0,29154746.0,30208628.0,31273533.0,32353588.0,33428486.0,34503774.0,35588987.0,36684202.0
5,Albania,ALB,3286542.0,3266790.0,3247039.0,3227287.0,3207536.0,3187784.0,3168033.0,3148281.0,3128530.0,3108778.0,3089027.0,3060173.0,3051010.0,3039616.0,3026939.0,3011487.0,2992547.0,2970017.0,2947314.0,2927519.0,2913021.0,2905195.0,2900401.0,2895092.0,2889104.0,2880703.0,2876101.0,2873457.0,2866376.0,2854191.0,2837849.0,2811666.0,2777689.0,2745972.0
6,Andorra,AND,53569.0,55434.0,57283.0,59156.0,61037.0,62928.0,64147.0,64682.0,65186.0,65655.0,66097.0,67820.0,70849.0,73907.0,76933.0,79826.0,80221.0,78168.0,76055.0,73852.0,71519.0,70567.0,71013.0,71367.0,71621.0,71746.0,72540.0,73837.0,75013.0,76343.0,77700.0,79034.0,79824.0,80088.0
7,Arab World,ARB,225923327.0,230837072.0,236598334.0,242994250.0,249596194.0,255803349.0,261953764.0,268158920.0,274376380.0,280650496.0,287065982.0,293512340.0,300018650.0,306573087.0,313249616.0,320558754.0,328703057.0,337498222.0,346630443.0,355754908.0,364427661.0,372351065.0,380383408.0,389131555.0,397922915.0,406501999.0,415077960.0,423664839.0,432545676.0,441467739.0,449228296.0,456520777.0,464684914.0,473272080.0
8,United Arab Emirates,ARE,1900151.0,2008383.0,2116231.0,2223284.0,2329024.0,2433988.0,2572735.0,2746119.0,2921130.0,3097563.0,3275333.0,3454198.0,3633655.0,3813443.0,3993339.0,4280993.0,4898954.0,5872624.0,6988685.0,7992644.0,8481771.0,8575205.0,8664969.0,8751847.0,8835951.0,8916899.0,8994263.0,9068296.0,9140169.0,9211657.0,9287289.0,9365145.0,9441129.0,9516871.0
9,Argentina,ARG,32637657.0,33105763.0,33568285.0,34027240.0,34488696.0,34946110.0,35389362.0,35815971.0,36233195.0,36653031.0,37070774.0,37480493.0,37885028.0,38278164.0,38668796.0,39070501.0,39476851.0,39876111.0,40273769.0,40684338.0,40788453.0,41261490.0,41733271.0,42202935.0,42669500.0,43131966.0,43590368.0,44044811.0,44494502.0,44938712.0,45376763.0,45808747.0,46234830.0,46654581.0
10,Armenia,ARM,3556539.0,3617631.0,3574555.0,3457349.0,3373713.0,3322782.0,3298898.0,3271418.0,3240550.0,3206030.0,3168523.0,3133133.0,3105037.0,3084102.0,3065745.0,3047246.0,3026486.0,3004393.0,2983421.0,2964296.0,2946293.0,2928976.0,2914421.0,2901385.0,2889930.0,2878595.0,2865835.0,2851923.0,2836557.0,2820602.0,2805608.0,2790974.0,2780469.0,2777970.0
11,American Samoa,ASM,47818.0,48992.0,50078.0,51174.0,52288.0,53401.0,54500.0,55578.0,56603.0,57594.0,58230.0,58324.0,58177.0,57941.0,57626.0,57254.0,56837.0,56383.0,55891.0,55366.0,54849.0,54310.0,53691.0,52995.0,52217.0,51368.0,50448.0,49463.0,48424.0,47321.0,46189.0,45035.0,44273.0,43914.0
12,Antigua and Barbuda,ATG,63328.0,63634.0,64659.0,65834.0,67072.0,68398.0,69798.0,71218.0,72572.0,73821.0,75055.0,76215.0,77195.0,78075.0,78941.0,79869.0,80895.0,82016.0,83251.0,84534.0,85695.0,86729.0,87674.0,88497.0,89236.0,89941.0,90564.0,91119.0,91626.0,92117.0,92664.0,93219.0,93763.0,94298.0
13,Australia,AUS,17065128.0,17284036.0,17478635.0,17634808.0,17805468.0,18004882.0,18224767.0,18423037.0,18607584.0,18812264.0,19028802.0,19274701.0,19495210.0,19720737.0,19932722.0,20176844.0,20450966.0,20827622.0,21249199.0,21691653.0,22031750.0,22340024.0,22733465.0,23128129.0,23475686.0,23815995.0,24190907.0,24592588.0,24963258.0,25334826.0,25649248.0,25685412.0,26014399.0,26638544.0
14,Austria,AUT,7677850.0,7754891.0,7840709.0,7905633.0,7936118.0,7948278.0,7959017.0,7968041.0,7976789.0,7992324.0,8011566.0,8042293.0,8081957.0,8121423.0,8171966.0,8227829.0,8268641.0,8295487.0,8321496.0,8343323.0,8363404.0,8391643.0,8429991.0,8479823.0,8546356.0,8642699.0,8736668.0,8797566.0,8840521.0,8879920.0,8916864.0,8955797.0,9041851.0,9132383.0
15,Azerbaijan,AZE,7175200.0,7271300.0,7382050.0,7494800.0,7596550.0,7684850.0,7763000.0,7838250.0,7913000.0,7982750.0,8048600.0,8111200.0,8171950.0,8234100.0,8306500.0,8391850.0,8484550.0,8581300.0,8763400.0,8947243.0,9054332.0,9173082.0,9295784.0,9416801.0,9535079.0,9649341.0,9757812.0,9854033.0,9939771.0,10024283.0,10093121.0,10137750.0,10141756.0,10112555.0
16,Burundi,BDI,5483793.0,5594828.0,5743085.0,5555220.0,5586408.0,5932783.0,5930507.0,5923862.0,6035340.0,6180180.0,6307659.0,6465729.0,6648938.0,6860846.0,7120496.0,7388874.0,7658190.0,7944609.0,8278109.0,8709366.0,9126605.0,9455733.0,9795479.0,10149577.0,10494913.0,10727148.0,10903327.0,11155593.0,11493472.0,11874838.0,12220227.0,12551213.0,12889576.0,13238559.0
17,Belgium,BEL,9967379.0,10004486.0,10045158.0,10084475.0,10115603.0,10136811.0,10156637.0,10181245.0,10203008.0,10226419.0,10251250.0,10286570.0,10332785.0,10376133.0,10421137.0,10478617.0,10547958.0,10625700.0,10709973.0,10796493.0,10895586.0,11038264.0,11106932.0,11159407.0,11209057.0,11274196.0,11331422.0,11375158.0,11427054.0,11488980.0,11538604.0,11586195.0,11685814.0,11822592.0
18,Benin,BEN,5133419.0,5293046.0,5457778.0,5706181.0,5923394.0,6046511.0,6203860.0,6387026.0,6584183.0,6788589.0,6998023.0,7212041.0,7431783.0,7659208.0,7894554.0,8149419.0,8402631.0,8647761.0,8906469.0,9172514.0,9445710.0,9726380.0,10014078.0,10308730.0,10614844.0,10932783.0,11260085.0,11596779.0,11940683.0,12290444.0,12643123.0,12996895.0,13352864.0,13712828.0
