"Density
(P/Km2)",Birth Rate,Co2-Emissions,Fertility Rate,Forested Area (%),Gasoline Price,GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Maternal mortality ratio,Minimum wage,Out of pocket health expenditure,Physicians per thousand,Population,Population: Labor force participation (%),Urban_population,Life Expectancy at Birth (2021)
60,32.49,8672,4.47,2.10,0.70 ,19101353833 ,104.00,9.70,47.9,638.0,0.43 ,78.40,0.28,38041754,48.90,9797273,61.9824
105,11.78,4536,1.62,28.10,1.36 ,15278077447 ,107.00,55.00,7.8,15.0,1.12 ,56.90,1.2,2854191,55.70,1747593,76.4626
18,24.28,150006,3.02,0.80,0.28 ,169988236398 ,109.90,51.40,20.1,112.0,0.95 ,28.10,1.72,43053054,41.20,31510100,76.3767
26,40.73,34693,5.52,46.30,0.97 ,94635415870 ,113.50,9.30,51.6,241.0,0.71 ,33.40,0.21,31825295,77.50,21061025,61.6434
17,17.02,201348,2.26,9.80,1.10 ,449663446954 ,109.70,90.00,8.8,39.0,3.35 ,17.60,3.96,44938712,61.30,41339571,75.3899
104,13.99,5156,1.76,11.70,0.77 ,13672802158 ,92.70,54.60,11.0,26.0,0.66 ,81.60,4.4,2957731,55.60,1869848,72.0431
123,14.0,37620,1.73,14.10,0.56 ,39207000000 ,99.70,27.70,19.2,26.0,0.47 ,78.60,3.45,10023318,66.50,5616165,69.3658
1265,18.18,84246,2.04,11.00,1.12 ,302571254131 ,116.50,20.60,25.1,173.0,0.51 ,71.80,0.58,167310838,59.00,60987417,72.3811
668,10.65,1276,1.62,14.70,1.81 ,5209000000 ,99.40,65.40,11.3,27.0,3.13 ,45.20,2.48,287025,65.20,89431,77.5714
383,10.3,96889,1.62,22.60,1.43 ,529606710418 ,103.90,79.70,2.9,5.0,10.31 ,17.60,3.07,11484055,53.60,11259082,81.8787
17,20.79,568,2.31,59.70,1.13 ,1879613600 ,111.70,24.70,11.2,36.0,1.65 ,22.70,1.12,390353,65.10,179039,70.4697
108,36.22,6476,4.84,37.80,0.72 ,14390709095 ,122.00,12.30,60.5,397.0,0.39 ,40.50,0.08,11801151,70.90,5648149,59.821
4,24.82,6340,2.87,18.90,0.71 ,18340510789 ,103.20,24.90,30.0,144.0,0.29 ,5.30,0.37,2346179,70.80,1616550,61.1409
25,13.92,462299,1.73,58.90,1.02 ,1839758040766 ,115.40,51.30,12.8,60.0,1.53 ,28.30,2.15,212559417,63.90,183241641,72.7504
64,8.9,41708,1.56,35.40,1.11 ,86000000000 ,89.30,71.00,5.9,10.0,1.57 ,47.70,4.03,6975761,55.40,5256027,71.798
76,37.93,3418,5.19,19.30,0.98 ,15745810235 ,96.10,6.50,49.0,320.0,0.34 ,36.10,0.08,20321378,66.40,6092349,59.2696
83,35.74,9674,4.65,32.70,0.93 ,58792205642 ,99.80,9.30,59.4,617.0,0.36 ,36.00,0.23,25716544,57.00,13176900,58.5983
56,35.39,8291,4.57,39.30,1.03 ,38760467033 ,103.40,12.80,50.6,529.0,0.35 ,69.70,0.09,25876380,76.10,14741256,60.3334
4,10.1,544894,1.5,38.20,0.81 ,1736425629520 ,100.90,68.90,4.3,10.0,9.51 ,14.60,2.61,36991981,65.10,30628482,82.6565
26,12.43,85822,1.65,24.30,1.03 ,282318159745 ,101.40,88.50,6.2,13.0,2.00 ,32.20,2.59,18952038,62.60,16610135,78.9435
153,10.9,9893038,1.69,22.40,0.96 ,19910000000000 ,100.20,50.60,7.4,29.0,0.87 ,32.40,1.98,1397715000,68.00,842933962,78.2107
46,14.88,97814,1.81,52.70,0.68 ,323802808108 ,114.50,55.30,12.2,83.0,1.23 ,18.30,2.18,50339443,68.80,40827302,72.8296
100,13.97,8023,1.75,54.60,0.98 ,61773944174 ,113.30,55.20,7.6,27.0,1.84 ,21.50,2.89,5047561,62.10,4041885,77.0232
73,9.0,17488,1.47,34.40,1.26 ,60415553039 ,96.50,67.90,4.0,8.0,2.92 ,15.20,3.0,4067500,51.20,2328318,77.5804
225,19.51,25258,2.35,41.70,1.07 ,88941298258 ,105.70,59.90,24.1,95.0,0.40 ,43.70,1.56,10738958,64.30,8787475,72.6146
31,10.9,16590,1.59,51.30,1.14 ,31386949981 ,97.20,69.60,2.1,9.0,3.14 ,22.80,4.48,1331824,63.60,916024,77.1436
49,21.28,2046,2.77,55.90,0.82 ,5535548972 ,106.40,16.10,21.6,34.0,1.28 ,21.40,0.84,889953,57.60,505048,67.114
119,11.3,303276,1.88,31.20,1.39 ,2715518274227 ,102.50,65.60,3.4,8.0,11.16 ,6.80,3.27,67059887,55.10,54123364,82.4988
9,31.61,5321,3.97,90.00,0.92 ,16657960228 ,139.90,8.30,32.7,252.0,1.46 ,25.90,0.68,2172579,52.90,1949694,65.821
57,13.47,10128,2.06,40.60,0.76 ,17743195770 ,98.60,63.90,8.7,25.0,0.05 ,57.30,7.12,3720382,68.30,2196476,71.694
240,9.5,727973,1.56,32.70,1.39 ,3845630030824 ,104.00,70.20,3.1,7.0,9.99 ,12.50,4.25,83132799,60.80,64324835,80.6301
137,29.41,16670,3.87,41.20,0.92 ,66983634224 ,104.80,15.70,34.9,308.0,0.27 ,36.10,0.14,30792608,67.80,17249054,63.7954
81,8.1,62434,1.35,31.70,1.54 ,209852761469 ,99.60,136.60,3.6,3.0,4.46 ,35.50,5.48,10716322,51.80,8507474,80.1106
167,24.56,16777,2.87,32.70,0.79 ,76710385880 ,101.90,21.80,22.1,95.0,1.60 ,55.80,0.35,16604026,62.30,8540945,69.2368
89,21.6,9813,2.46,40.00,0.98 ,25095395475 ,91.50,26.20,15.1,65.0,1.01 ,49.10,0.31,9746117,68.80,5626433,70.1229
107,9.6,45537,1.54,22.90,1.18 ,160967157504 ,100.80,48.50,3.6,12.0,2.62 ,29.00,3.41,9769949,56.50,6999582,74.5301
464,17.86,2407672,2.22,23.80,0.97 ,2611000000000 ,113.00,28.10,29.9,145.0,0.30 ,65.10,0.86,1366417754,49.30,471031528,67.2398
151,18.07,563325,2.31,49.90,0.63 ,1119190780753 ,106.40,36.30,21.1,177.0,0.48 ,48.30,0.43,270203917,67.50,151509724,67.5703
52,18.78,661710,2.14,6.60,0.40 ,445345282123 ,110.70,68.10,12.4,16.0,1.58 ,39.70,1.58,82913906,44.70,62509623,73.8749
93,29.08,190061,3.67,1.90,0.61 ,234094042939 ,108.70,16.20,22.5,79.0,1.24 ,76.50,0.71,39309783,43.00,27783368,70.3779
400,20.8,65166,3.09,7.70,1.57 ,395098666122 ,104.90,63.40,3.0,3.0,7.58 ,24.40,4.62,9053300,64.00,8374393,82.255
273,16.1,8225,1.98,30.90,1.11 ,16458071068 ,91.00,27.10,12.4,80.0,1.33 ,23.70,1.31,2948279,66.00,1650594,70.5003
115,21.98,25108,2.76,1.10,1.10 ,43743661972 ,81.50,34.40,13.9,46.0,1.49 ,25.10,2.32,10101694,39.30,9213048,74.2563
